row,message_id,message_send_time_utc,measurement_time_utc,country_code,location,city,latitude,longitude,source_type,source_name,parameter_name,parameter_value,parameter_unit
3,4a9a23f2-a5c0-530d-8214-7feb689209ba,2022-12-19 02:23:14,2022-12-19 01:00:00,BE,BETR512,Hainaut,50.40781,4.395897,government,EEA Belgium,no2,6.5,µg/m³
4,52799db4-707a-5d53-9767-c1adbd28e825,2022-12-19 02:23:14,2022-12-19 01:00:00,BE,BETM705,West-Vlaanderen,50.945359,3.152402,government,EEA Belgium,no2,9.0,µg/m³
5,250ed56a-4da2-567c-acdd-897380f311a0,2022-12-19 02:23:13,2022-12-19 01:00:00,BE,BETR830,Oost-Vlaanderen,51.318229,4.262634,government,EEA Belgium,no2,28.5,µg/m³
6,7a6ec9ce-1da4-51b1-ac7b-95d7d0f524c7,2022-12-19 02:23:13,2022-12-19 01:00:00,BE,BETR502,Hainaut,50.428995,4.458681,government,EEA Belgium,no2,9.5,µg/m³
7,60dd698d-46f9-5489-81ec-35948bab3ddf,2022-12-19 02:23:14,2022-12-19 01:00:00,BE,BETE716,Oost-Vlaanderen,51.066988,3.682813,government,EEA Belgium,no2,6.5,µg/m³
8,27acc190-1e9d-5f75-9df8-9d89d3cf64a0,2022-12-19 02:23:14,2022-12-19 01:00:00,BE,BETMEU1,Brussels-Capital Region,50.895101,4.392718,government,EEA Belgium,no2,13.0,µg/m³
9,fbc3fba9-a776-52ce-8e89-a7b1dcd3256a,2022-12-18 02:22:29,2022-12-18 01:00:00,BE,BETB011,Brussels-Capital Region,50.858031,4.288336,government,EEA Belgium,no2,54.0,µg/m³
10,1d6b8766-cb17-5fe6-8683-db7eb5185b73,2022-12-18 02:32:47,2022-12-18 01:00:00,BE,BETN043,Brussels-Capital Region,50.88356,4.382963,government,EEA Belgium,pm10,41.5,µg/m³
11,d0b02374-d34b-51e1-8814-7f6d1e18e95d,2022-12-19 02:23:15,2022-12-19 01:00:00,BE,BETN046,Limburg,50.882299,5.618874,government,EEA Belgium,no2,18.0,µg/m³
12,aa965dee-110e-5548-bd6e-01f7dc5d103e,2022-12-19 02:23:15,2022-12-19 01:00:00,BE,BETN051,Oost-Vlaanderen,50.798916,3.930293,government,EEA Belgium,no2,5.0,µg/m³
