,series-id,measurement,num-measurements,location-id,location-name,longitude,latitude,phenomenon,reference-value-lower,reference-value-upper,reference-value-color
9,6906,8.25,2,1176,43N066 - Eupen,6.002328686936966,50.62886025981787,Nitrogen dioxide,-10.0,20.0,#0000FF
19,6905,3.5,2,1176,43N066 - Eupen,6.002328686936966,50.62886025981787,Nitrogen monoxide,-10.0,20.0,#0000FF
29,6907,24.25,2,1176,43N066 - Eupen,6.002328686936966,50.62886025981787,Ozone,-10.0,25.0,#0000FF
30,10893,0.75,2,1739,42OT02 - Oud-Turnhout,5.0117926918528894,51.34654782558199,Ammonia,,,#888888
40,10772,5.5,2,1727,42R818 - Antwerpen (Burchtse Weel),4.350554534328843,51.2122581085401,Nitrogen monoxide,-10.0,20.0,#0000FF
41,10892,0.0,2,1738,42BO01 - Bonheiden,4.516483717002172,51.02706104655742,Ammonia,,,#888888
51,10771,0.7625,2,1727,42R818 - Antwerpen (Burchtse Weel),4.350554534328843,51.2122581085401,Black Carbon,-10.0,1.0,#0000FF
52,10895,1.765,1,1157,40R822 - Antwerpen,4.341279992464663,51.26428978424869,Benzene,,,#888888
53,10894,0.605,1,1127,42M802 - Antwerpen,4.42439900693533,51.2609897074671,Benzene,,,#888888
62,10773,24.25,2,1727,42R818 - Antwerpen (Burchtse Weel),4.350554534328843,51.2122581085401,Nitrogen dioxide,20.0,50.0,#0099FF
64,10897,0.58,1,1030,40AL01 - Linkeroever,4.385223684454717,51.23619419990248,Benzene,,,#888888
74,6904,1.0,2,1176,43N066 - Eupen,6.002328686936966,50.62886025981787,Sulphur dioxide,-5.0,25.0,#0000FF
75,10896,0.425,2,1711,41B008 - Brussel (Beliardstraat),4.376149069749029,50.840788566500215,Benzene,,,#888888
84,6917,46.25,2,1178,43N070 - Mons,3.939714325523836,50.46519215642695,Nitrogen dioxide,20.0,50.0,#0099FF
94,10789,11.25,2,1733,43R401 - Namur,4.865260946011645,50.462427939604666,Particulate Matter < 10 µm,10.0,20.0,#0099FF
104,10788,29.0,2,1733,43R401 - Namur,4.865260946011645,50.462427939604666,Nitrogen dioxide,20.0,50.0,#0099FF
115,6916,11.75,2,1178,43N070 - Mons,3.939714325523836,50.46519215642695,Nitrogen monoxide,-10.0,20.0,#0000FF
124,6919,12.021,2,1178,43N070 - Mons,3.939714325523836,50.46519215642695,Particulate Matter < 10 µm,10.0,20.0,#0099FF
135,6918,9.75,2,1178,43N070 - Mons,3.939714325523836,50.46519215642695,Ozone,-10.0,25.0,#0000FF
145,6911,0.068,2,1177,43N067 - Membach,5.99275271918706,50.61227752813405,Particulate Matter < 10 µm,-10.0,10.0,#0000FF
154,10785,8.93,2,1731,42HH08 - Houthalen-Helchteren,5.3763866842389705,51.03160178512395,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
164,10784,13.9,2,1731,42HH08 - Houthalen-Helchteren,5.3763866842389705,51.03160178512395,Particulate Matter < 10 µm,10.0,20.0,#0099FF
175,6912,0.0,2,1177,43N067 - Membach,5.99275271918706,50.61227752813405,Particulate Matter < 2.5 µm,-10.0,5.0,#0000FF
185,10787,3.25,2,1733,43R401 - Namur,4.865260946011645,50.462427939604666,Nitrogen monoxide,-10.0,20.0,#0000FF
195,6914,0.24,2,1178,43N070 - Mons,3.939714325523836,50.46519215642695,Carbon Monoxide,-10.0,100.0,#0000FF
203,10786,13.395,2,1727,42R818 - Antwerpen (Burchtse Weel),4.350554534328843,51.2122581085401,Particulate Matter < 2.5 µm,10.5,15.0,#009900
209,10998,1010.0,2,1715,44R702 - Gent (Carlierlaan),3.734971479685305,51.04068941942753,Atmospheric  Pressure,1010.0,1020.0,#FF6600
225,6928,0.0875,2,1180,43N085 - Vielsalm,6.001736288537827,50.30320782818866,Black Carbon,-10.0,1.0,#0000FF
226,10877,8.75,2,1206,44N052 - Zwevegem,3.322494319037272,50.814873869919865,Particulate Matter < 1 µm,,,#888888
231,10997,1007.5,2,1713,42R805 - Antwerpen (Belgiëlei),4.421559251065273,51.20822947181719,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
237,10876,9.0,2,1202,44N029 - Houtem,2.582322781489737,51.01628011113804,Particulate Matter < 1 µm,,,#888888
247,6927,2.411,2,1179,43N073 - Vezin,4.988422954092519,50.50271634104266,Particulate Matter < 2.5 µm,-10.0,5.0,#0000FF
248,10879,10.0,2,1715,44R702 - Gent (Carlierlaan),3.734971479685305,51.04068941942753,Particulate Matter < 1 µm,,,#888888
252,10999,1012.75,2,1720,42R803 - Antwerpen (Park Spoor Noord),4.428454177535564,51.22862981306374,Atmospheric  Pressure,1010.0,1020.0,#FF6600
259,10878,9.25,2,1207,44R701 - Gent,3.729298171690584,51.05833171626488,Particulate Matter < 1 µm,,,#888888
263,10990,1010.0,2,1200,44N012 - Moerkerke,3.362535888701597,51.25457362243645,Atmospheric  Pressure,1010.0,1020.0,#FF6600
278,6920,6.7625,2,1178,43N070 - Mons,3.939714325523836,50.46519215642695,Particulate Matter < 2.5 µm,5.0,10.4,#0099FF
283,10992,1011.25,2,1208,44R710 - Destelbergen,3.775262389645357,51.06127769765467,Atmospheric  Pressure,1010.0,1020.0,#FF6600
299,10750,0.75,2,1722,47E704 - Wachtebeke,3.869928172752206,51.17610010406744,Nitrogen monoxide,-10.0,20.0,#0000FF
300,10871,11.25,2,1743,42R823 - Beveren,4.239930592809773,51.21325060421094,Particulate Matter < 1 µm,,,#888888
305,10991,1008.0,2,1206,44N052 - Zwevegem,3.322494319037272,50.814873869919865,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
320,6924,9.75,2,1179,43N073 - Vezin,4.988422954092519,50.50271634104266,Nitrogen dioxide,-10.0,20.0,#0000FF
321,10873,8.75,2,1710,42R834 - Boom,4.38010354488249,51.09200003750444,Particulate Matter < 1 µm,,,#888888
325,10993,1011.0,2,1212,44R731 - Evergem,3.739504220441925,51.12469051189999,Atmospheric  Pressure,1010.0,1020.0,#FF6600
340,10751,26.25,2,1722,47E704 - Wachtebeke,3.869928172752206,51.17610010406744,Nitrogen dioxide,20.0,50.0,#0099FF
351,6923,0.5,2,1179,43N073 - Vezin,4.988422954092519,50.50271634104266,Nitrogen monoxide,-10.0,20.0,#0000FF
355,10996,1010.75,2,1710,42R834 - Boom,4.38010354488249,51.09200003750444,Atmospheric  Pressure,1010.0,1020.0,#FF6600
