series-id,location-id,location-name,longitude,latitude,phenomenon,reference-value-lower,reference-value-upper,reference-value-color
6522,1112,41B006 - Bruxelles (Parlement UE),4.374388283352735,50.838631187634185,"1,2-XYLENE O-XYLENE",,,#888888
10892,1738,42BO01 - Bonheiden,4.516483717002172,51.02706104655742,Ammonia,,,#888888
10893,1739,42OT02 - Oud-Turnhout,5.0117926918528894,51.346547825581986,Ammonia,,,#888888
10932,1174,43N063 - Corroy-Le-Grand,4.668287682824637,50.655439103400546,Ammonia,,,#888888
10934,1180,43N085 - Vielsalm,6.001736288537827,50.30320782818866,Ammonia,,,#888888
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,1040.0,999.0,#660000
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,1030.0,1040.0,#990000
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,980.0,990.0,#00FF00
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,970.0,980.0,#009900
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,960.0,970.0,#0099FF
10944,1747,42AL09 - Antwerpen (Van Averbekelaan),4.376531512921879,51.22981341815649,Atmospheric  Pressure,-999.0,960.0,#0000FF
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,1040.0,999.0,#660000
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,1030.0,1040.0,#990000
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,980.0,990.0,#00FF00
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,970.0,980.0,#009900
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,960.0,970.0,#0099FF
10982,1132,42N016 - Dessel,5.163978846331757,51.233652206162375,Atmospheric  Pressure,-999.0,960.0,#0000FF
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,1040.0,999.0,#660000
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,1030.0,1040.0,#990000
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,980.0,990.0,#00FF00
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,970.0,980.0,#009900
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,960.0,970.0,#0099FF
10983,1137,42N035 - Aarschot,4.837618015698614,50.97754137811429,Atmospheric  Pressure,-999.0,960.0,#0000FF
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,1040.0,999.0,#660000
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,1030.0,1040.0,#990000
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,980.0,990.0,#00FF00
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,970.0,980.0,#009900
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,960.0,970.0,#0099FF
10984,1142,42N054 - Walshoutem,5.103158609453956,50.711706093733625,Atmospheric  Pressure,-999.0,960.0,#0000FF
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,1040.0,999.0,#660000
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,1030.0,1040.0,#990000
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,980.0,990.0,#00FF00
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,970.0,980.0,#009900
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,960.0,970.0,#0099FF
10985,1146,42R020 - Vilvoorde,4.436720763534066,50.94138711459397,Atmospheric  Pressure,-999.0,960.0,#0000FF
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,1040.0,999.0,#660000
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,1030.0,1040.0,#990000
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,980.0,990.0,#00FF00
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,970.0,980.0,#009900
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,960.0,970.0,#0099FF
10986,1147,42R801 - Borgerhout,4.4318210469688415,51.209662530910016,Atmospheric  Pressure,-999.0,960.0,#0000FF
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,1040.0,999.0,#660000
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,1030.0,1040.0,#990000
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,980.0,990.0,#00FF00
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,970.0,980.0,#009900
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,960.0,970.0,#0099FF
10987,1148,42R802 - Borgerhout,4.431792230792439,51.209518731583486,Atmospheric  Pressure,-999.0,960.0,#0000FF
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,1040.0,999.0,#660000
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,1030.0,1040.0,#990000
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,980.0,990.0,#00FF00
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,970.0,980.0,#009900
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,960.0,970.0,#0099FF
10988,1149,42R811 - Schoten,4.491362027935439,51.25210341184476,Atmospheric  Pressure,-999.0,960.0,#0000FF
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,1040.0,999.0,#660000
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,1030.0,1040.0,#990000
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,1020.0,1030.0,#FF0000
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,1010.0,1020.0,#FF6600
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,1000.0,1010.0,#FFBB00
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,990.0,1000.0,#FFFF00
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,980.0,990.0,#00FF00
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,970.0,980.0,#009900
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,960.0,970.0,#0099FF
10990,1200,44N012 - Moerkerke,3.3625358887015975,51.25457362243645,Atmospheric  Pressure,-999.0,960.0,#0000FF
